,,,,,,,,
,,PERGUNTA,ALTERNATIVA 1,ALTERNATIVA 2,ALTERNATIVA 3,RESPOSTA,NIVEL,CATEGORIA
,,"Que jogador é conhecido como ""Imperador""?",Kaká,Ronaldo,Léo Moura,Adriano,2,Esporte
,,"Qual empresa tem a seguinte frase em suas publicidades ""... se sujar faz bem...""?",Minerva,Omo,Brilhante,Ipê,1,Entretenimento
,,Quais as cores predominantes na roupa do Super-Homem?,Verde e Branco,Azul e Roxo,Amarelo e Cinza,Azul e Vermelho,1,Entretenimento
,,Quem finalizou a obra da Basílica de San Pedro (Roma)?,Fillippo Brunelleschi,Pablo Picasso,Leonardo Da Vinci,Lorenzo Bernini,5,Artes
,,"Segundo a Biblia Sagrada, onde Jesus Cristo foi batizado?",Rio Amazonas,Rio Eufrates,Rio Jordão,Rio Nilo,2,História
,,Em que pais está localizada a cidade de Bruxelas?,Alemanha,Austria,França,Bélgica,2,Geografia
,,Qual desses times rubro-negros é de Pernambuco?,Flamengo,Campinense,Atletico Paranaense,Sport,2,Esporte
,,Em que estado se encontra a cidade de Formiga?,Rio Grande do Sul,Piaui,Pará,Minas Gerais,3,Geografia
,,"No filme ""It, a coisa"", como é chamado o palhaço dançarino?",Beverly Marsh,Bilk Denbrough,Richie Tozier,Pennywise,2,Entretenimento
,,Qual parte do corpo que mais contém micróbios?,Pé,Mão,Unhas,Boca,2,Ciências
,,Onde fica o quadro mais conhecido do Mundo?,Chile,Grécia,Brasil,Paris,1,Artes
,,"Qual oceano banha as praias da Califórnia, nos EUA?",Oceano Indico,Oceano Atlantico,Oceano Ártico,Oceano Pacifico,3,Geografia
,,Quem criou o molho barbecue?,Japoneses,Chineses,Brasileiros,Americanos,2,Ciências
,,Qual clube de futebol é o maior campeão da Liga dos Campeões da Europa?,Barcelona,Liverpool,Bayern de Munique,Real Madrid,3,Esporte
,,No filme as reliquias da morte com a varinha de quem Harry Potter derrota Lord Voldemont?,Dele Próprio,Hermione,Rony,Draco Malfoy,2,Entretenimento
,,"Em que Estado, Salvador está localizado?",Sergipe,Amazonas,Ceará,Bahia,1,Geografia
,,Qual continente que a cada ano que passa se afasta 2 centimetros do continente africano?,Continente Europeu,Continente da Oceania,Continente da Antártida,Contenete Sul-americano,3,Geografia
,,Que exame verifica a atividade elétrica do coração?,Tomografia computadorizada,Eletroencefalograma,Resonnância Magnética,Eletrocardiograma,2,Ciências
,,Qual desses filmes é escrito e dirigido por Quentin Tarantino?,Perdido em Marte,Mad Max,O Regresso,Bastardos Inglórios,3,Entretenimento
,,Onde se localiza a cidade de Amargosa?,São Paulo,Rio de Janeiro,Acre,Bahia,2,Geografia
,,Em que região a cidade do Rio de Janeiro fica?,Nordeste,Centro - Oeste,Sul,Sudeste,1,Geografia
,,Qual é a forma de detal?,C² - 6ab,6² - 6ab,0²x76y,B²-4ac,2,Ciências
,,Qual desses personagens históricos foi o grande responsável pela CLT (Consolidação das Leias Trabalhistas) no Brasil?,Juscelino Kubitschek,Luis Inácio Lula da Silva,Dom Pedro II,Getúlio Vargas,2,História
,,Qual é a famosa série médica que trata de Diagnósticos raros?,Grey's Anatomy,The Good Doctor,Chicago Med,Doutor House,2,Entretenimento
,,Quanto é 6x7x9x0?,37,32,42,0,1,Ciências
,,Qual dessas comidas é típica da Argentina?,Parrilada,Empanada,Facturas,Todas as alternativas,2,Ciências
,,Quem foi o primeiro presidente do Brasil?,Dom Pedro I,Dom Pedro II,Getúlio Vargas,Deodoro da Fonseca,2,História
,,"De quem é a famosa frase “Penso, logo existo”?",Platão,Galileu Galilei,Sócrates,Descartes,3,Ciências
,,De onde é a invenção do chuveiro elétrico?,França,Inglaterra,Austrália,Brasil,2,Ciências
,,Qual o livro mais vendido no mundo a seguir à Bíblia?,O Senhor dos Anéis,O Pequeno Príncipe,Harry Potter,Dom Quixote,2,Entretenimento
,,O que a palavra legend significa em português?,Legenda,Legendário,História,Lenda,2,Ciências
,,Qual o número mínimo de jogadores numa partida de futebol?,11,8,10,7,2,Esporte
